Fund,Fund Description,Department,Department Description,Business Unit,Business Unit Description,Object Account,Object Account Description,FY14 Budgeted Expenses,FY14 Actual Expenses,FY15 Budgeted Expenses,FY15 Actual Expenses,FY16 Budgeted Expenses,FY16 Actual Expenses,FY17 Budgeted Expenses,FY17 Actual Expenses,FY18 Budgeted Expenses,FY18 Actual Expenses,FY19 Budgeted Expenses,FY19 Actual Expenses
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502303,Refuse Disposal,24800.00,32522.29,28600.00,9021.75,28600.00,0.00,28600.00,0.00,28600.00,0.00,28600.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502306,Hazard Waste Disposal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2900.44
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502333,Laundry Service,0.00,725.00,1400.00,306.88,1400.00,319.00,1400.00,209.00,1400.00,369.80,1400.00,403.90
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502334,Pest Control Srvc,1800.00,654.12,600.00,654.12,600.00,654.12,600.00,724.65,600.00,239.20,600.00,846.78
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502345,Lock & Key Service,200.00,177.00,400.00,0.00,400.00,0.00,400.00,0.00,400.00,0.00,400.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502357,Internet Services,0.00,1092.84,600.00,1057.99,600.00,1279.66,600.00,1508.93,600.00,1217.20,600.00,1467.11
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502451,Employee Out-of-town Travel,0.00,363.00,500.00,260.45,500.00,0.00,500.00,1537.04,500.00,680.00,500.00,4698.30
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502452,Employee Air Travel,0.00,423.70,400.00,0.00,400.00,0.00,400.00,0.00,400.00,0.00,400.00,775.90
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502502,Allowance-Cell/Mobile Devices,1500.00,2016.00,2000.00,1256.00,2000.00,920.00,2000.00,1196.00,2000.00,1104.00,2000.00,1104.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502520,Postage & Delivery Srvc,0.00,0.00,0.00,725.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502701,Printing/Binding,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502882,Tuition,0.00,2487.25,2500.00,4040.75,2500.00,0.00,2500.00,0.00,2500.00,0.00,2500.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502883,Registration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00,495.00,0.00,800.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502884,Membership Dues,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262.50
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502910,Building Maintenance Srvc,6900.00,2084.74,2800.00,883.14,2800.00,0.00,2800.00,973.85,2800.00,695.73,2800.00,1127.04
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502911,Plumbing/HVAC Maintain Srvc,1800.00,7548.50,3800.00,0.00,3800.00,0.00,3800.00,9014.28,3800.00,12.25,3800.00,2142.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502912,Electrical Repair Service,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325.91,0.00,1479.05,0.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502920,Other Rpr & Maint Srvc,5900.00,12193.59,34200.00,3433.00,34200.00,0.00,34200.00,35209.66,34200.00,12985.48,34200.00,24260.09
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502957,Telecmmnct'n Charge,0.00,0.00,0.00,0.00,0.00,4420.52,0.00,27913.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,502988,OFM Direct Billed Charges,0.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503100,Offc & Admin Supply,0.00,81.68,500.00,110.00,500.00,2777.63,500.00,3952.88,500.00,53.25,500.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503130,Computer Hardware <$10K,0.00,456.46,700.00,0.00,700.00,0.00,700.00,0.00,700.00,0.00,700.00,2113.37
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503140,Office Equipment < $10K,0.00,0.00,0.00,2206.81,0.00,0.00,0.00,0.00,0.00,179.99,0.00,3180.07
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503150,Furniture/Fixtures<$10K,0.00,20149.96,10100.00,0.00,10100.00,0.00,10100.00,1371.30,10100.00,0.00,10100.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503200,HHold & Jnitr Supply,0.00,1027.86,500.00,0.00,500.00,0.00,500.00,0.00,500.00,182.39,500.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503210,Food & Ice,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503240,Floor Covering,0.00,29.87,0.00,0.00,0.00,0.00,0.00,7188.50,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503300,Personal Use Supply,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.99,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503600,Repair & Maint Supply,16600.00,9813.76,4900.00,34360.46,4900.00,0.00,4900.00,2.03,4900.00,258.33,4900.00,28197.47
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503601,Paint,1000.00,2804.64,5400.00,1784.98,5400.00,0.00,5400.00,4062.54,5400.00,2767.89,5400.00,4311.20
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503602,Paint Supply,300.00,0.00,500.00,503.07,500.00,144.86,500.00,9.68,500.00,0.00,500.00,67.51
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503620,Electrical Supply,2900.00,1157.71,1900.00,974.27,1900.00,0.00,1900.00,1085.32,1900.00,829.66,1900.00,3314.59
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503630,Electronic Parts/Supply,1300.00,0.00,0.00,44.78,0.00,0.00,0.00,1456.53,0.00,372.52,0.00,950.11
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503640,Safety Supply,0.00,689.60,1400.00,0.00,1400.00,0.00,1400.00,0.00,1400.00,0.00,1400.00,104.80
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503660,HVAC Supply,3500.00,2567.96,5400.00,12127.84,5400.00,0.00,5400.00,3349.86,5400.00,7171.56,5400.00,12638.49
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503700,Construction Supply,200.00,0.00,100.00,0.00,100.00,195.00,100.00,3167.00,100.00,313.78,100.00,60.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503721,Glass,0.00,678.40,400.00,0.00,400.00,49.61,400.00,459.00,400.00,0.00,400.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503850,Small Equipment Supply,7800.00,0.00,9100.00,0.00,9100.00,596.10,9100.00,32.00,9100.00,548.44,9100.00,2980.84
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503851,Work Equipment < $10K,0.00,0.00,0.00,1462.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503852,Safety Equipment < $10K,0.00,0.00,0.00,12488.34,0.00,0.00,0.00,761.50,0.00,0.00,0.00,988.30
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503860,Electrical Appliance<$10K,0.00,2739.42,1400.00,0.00,1400.00,99.99,1400.00,0.00,1400.00,0.00,1400.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503870,Plumbing Appliance<$10K,0.00,8712.91,8800.00,4067.21,8800.00,0.00,8800.00,6094.27,8800.00,17067.36,8800.00,24685.32
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,503920,Fire/Emergency Equip<$10K,0.00,721.00,400.00,760.00,400.00,0.00,400.00,3793.40,400.00,0.00,400.00,2616.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,505221,Boiler Inspection,0.00,0.00,100.00,850.00,100.00,0.00,100.00,0.00,100.00,150.00,100.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,505254,Drug Test Fee,200.00,756.00,500.00,8802.00,500.00,13428.00,500.00,13266.00,500.00,23004.00,500.00,21402.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,507250,Building Improvements,0.00,0.00,20600.00,0.00,20600.00,0.00,20600.00,0.00,20600.00,0.00,20600.00,0.00
10101,GSD General,30,Sheriff,30122910,SHE CDC-M Offend Mgmt Key,507400,Machinery & Equipment,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501101,Regular Pay,707100.00,1325609.95,730400.00,1180611.19,772400.00,997451.17,842300.00,2157023.33,953800.00,2749207.63,996800.00,2753511.24
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501102,Leave Pay,84000.00,159906.41,86800.00,170278.36,91800.00,119175.04,91800.00,226264.29,91800.00,345529.84,97900.00,317315.29
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501103,Holiday Pay,29600.00,56161.83,30600.00,50028.55,32400.00,35686.97,33600.00,126266.68,33600.00,169591.60,33600.00,154914.40
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501104,Overtime Pay,0.00,635.35,0.00,1534.23,0.00,555.89,0.00,9458.28,0.00,6123.16,0.00,6971.55
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501106,Shift Differential Pay,8200.00,6302.24,8500.00,4027.78,9000.00,1564.20,9000.00,15414.04,9000.00,23839.40,9000.00,24454.70
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501108,Injured on Duty Pay,0.00,2608.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.14,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501109,Longevity,7500.00,21844.17,7500.00,21876.22,7500.00,16905.64,7500.00,37277.09,7500.00,36217.50,7500.00,34881.43
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501131,IOD-NCS 90 Percent,0.00,0.00,0.00,0.00,0.00,665.88,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501134,Paid Family Leave,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16379.55,0.00,9803.41
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501160,YE Biweekly Sal/Fringe Accr,0.00,9078.63,0.00,6714.54,0.00,12106.46,0.00,-217575.10,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501172,Employer OASDI,49900.00,95858.29,54200.00,85200.59,57400.00,69230.44,61500.00,150902.42,68500.00,195714.70,69000.00,195130.72
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501173,Employer SSN Medical,11700.00,17107.20,12700.00,18563.06,13500.00,16191.00,14500.00,35291.66,16100.00,45772.01,16200.00,45635.45
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501174,Employer Group Health,137200.00,267354.00,137200.00,200796.53,145300.00,145542.00,155700.00,371130.00,155700.00,512490.00,155700.00,426423.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501175,Employer Dental Group,5900.00,10954.24,5900.00,9323.27,6200.00,6405.42,6600.00,14804.58,6600.00,21739.49,6600.00,20182.65
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501176,Employer Group Life,2700.00,5278.09,2700.00,5151.44,2900.00,3550.00,3100.00,8392.91,3100.00,10739.76,3100.00,10086.97
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501177,Employer Pension,114600.00,229653.98,124500.00,221551.48,113600.00,151474.25,102500.00,268997.49,116300.00,354896.41,117200.00,343761.68
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501181,FSA Pre-Tax Savings,400.00,332.91,400.00,168.25,400.00,276.20,400.00,669.23,400.00,688.58,400.00,399.74
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,501182,Cafe Plan Pre-Tax Savings,3600.00,7428.62,3900.00,5590.42,4100.00,4147.70,4400.00,10266.39,4400.00,14360.34,4400.00,11964.61
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502229,Management Consultant,12100.00,0.00,6300.00,7950.00,6300.00,7125.00,6300.00,4950.00,6300.00,5100.00,6300.00,5325.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502303,Refuse Disposal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2414.59,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502309,Educational Service,0.00,0.00,400.00,0.00,400.00,0.00,400.00,350.00,400.00,230.00,400.00,6831.50
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502357,Internet Services,0.00,0.00,400.00,0.00,400.00,0.00,400.00,0.00,400.00,0.00,400.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502451,Employee Out-of-town Travel,0.00,0.00,0.00,0.00,0.00,1038.71,0.00,4564.50,0.00,2299.60,0.00,1660.82
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502453,Employee Local Travel/Park,0.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502502,Allowance-Cell/Mobile Devices,1500.00,4827.37,4900.00,3140.00,4900.00,2438.00,4900.00,5080.00,4900.00,6206.00,4900.00,6956.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502702,Sign Printing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5339.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502851,Subscriptions,2000.00,0.00,1500.00,2520.00,1500.00,2050.00,1500.00,0.00,1500.00,2050.00,1500.00,2050.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502882,Tuition,0.00,1601.25,1400.00,0.00,1400.00,0.00,1400.00,5028.75,1400.00,6871.25,1400.00,15987.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502884,Membership Dues,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,0.00,48.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502920,Other Rpr & Maint Srvc,21300.00,12591.56,9600.00,7821.03,9600.00,8350.18,9600.00,7683.99,9600.00,10862.44,9600.00,12331.44
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,502957,Telecmmnct'n Charge,14500.00,6411.00,16900.00,3522.59,16900.00,1742.88,16900.00,1880.85,16900.00,1748.30,16900.00,31356.63
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503050,Host & Hostess,600.00,0.00,1100.00,900.00,1100.00,0.00,1100.00,750.00,1100.00,0.00,1100.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503100,Offc & Admin Supply,1100.00,4428.40,5900.00,4858.32,5900.00,3283.62,5900.00,11487.64,5900.00,5867.03,5900.00,10573.25
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503130,Computer Hardware <$10K,0.00,1484.20,0.00,0.00,0.00,0.00,0.00,516.98,0.00,172.00,0.00,1907.47
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503140,Office Equipment < $10K,0.00,1246.34,700.00,254.97,700.00,0.00,700.00,268.98,700.00,449.99,700.00,364.77
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503150,Furniture/Fixtures<$10K,0.00,799.90,400.00,5208.95,400.00,1029.77,400.00,881.64,400.00,904.29,400.00,4420.03
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503330,Books/Magazines/Periodicals,1700.00,0.00,0.00,302.98,0.00,0.00,0.00,66.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503350,Educational Supply,600.00,0.00,0.00,2798.57,0.00,927.17,0.00,3213.54,0.00,718.98,0.00,1585.28
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503600,Repair & Maint Supply,500.00,0.00,0.00,0.00,0.00,195.84,0.00,1650.18,0.00,403.26,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503601,Paint,300.00,0.00,0.00,212.49,0.00,108.07,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503620,Electrical Supply,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.02,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,503630,Electronic Parts/Supply,0.00,0.00,0.00,149.95,0.00,0.00,0.00,198.98,0.00,62.00,0.00,0.00
10101,GSD General,30,Sheriff,30123210,SHE CDC-M Support Staff Key,505269,Other License & Fees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,810.00
10101,GSD General,30,Sheriff,30123510,SHE*CDC-F Programs Key,502451,Employee Out-of-town Travel,0.00,0.00,0.00,0.00,0.00,710.24,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123510,SHE*CDC-F Programs Key,502883,Registration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123510,SHE*CDC-F Programs Key,503350,Educational Supply,0.00,160.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123510,SHE*CDC-F Programs Key,503600,Repair & Maint Supply,0.00,0.00,0.00,0.00,0.00,489.54,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501101,Regular Pay,2171100.00,1619830.57,2242500.00,1605870.23,2379000.00,1635181.62,0.00,183619.34,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501102,Leave Pay,164400.00,250549.84,169800.00,227409.16,179600.00,195147.98,0.00,21126.33,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501103,Holiday Pay,107000.00,106194.47,110500.00,105492.00,116900.00,114354.85,0.00,16500.24,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501104,Overtime Pay,0.00,14983.01,0.00,14254.37,0.00,66153.92,0.00,18975.11,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501105,Out of Class Pay,0.00,534.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501106,Shift Differential Pay,53600.00,29408.37,55400.00,29020.90,58600.00,29124.44,0.00,3393.99,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501108,Injured on Duty Pay,0.00,3247.98,0.00,0.00,0.00,1615.91,0.00,123.68,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501109,Longevity,6900.00,15238.44,6900.00,14333.23,6900.00,15647.50,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501127,IOD-CS 100 Percent,0.00,0.00,0.00,4792.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501128,IOD-CS 75 Percent,0.00,1481.77,0.00,3709.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501129,IOD-Light Duty,0.00,1367.78,0.00,8438.41,0.00,923.38,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501133,IOD-CS 90 Percent,0.00,0.00,0.00,0.00,0.00,415.52,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501160,YE Biweekly Sal/Fringe Accr,0.00,12023.00,0.00,10644.34,0.00,17733.57,0.00,-21455.37,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501170,Fringe Benefits,0.00,0.00,0.00,0.00,1800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501172,Employer OASDI,136400.00,116404.41,148200.00,114351.67,157000.00,117921.84,0.00,14111.70,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501173,Employer SSN Medical,31900.00,27223.59,34700.00,26743.58,36800.00,27578.46,0.00,3300.34,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501174,Employer Group Health,469600.00,445343.56,469600.00,452148.61,497400.00,430020.00,0.00,44385.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501175,Employer Dental Group,17800.00,16723.25,17800.00,16241.45,18900.00,15158.08,0.00,1527.12,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501176,Employer Group Life,7200.00,7929.42,7200.00,8420.60,7600.00,8023.00,0.00,1065.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501177,Employer Pension,331100.00,318715.47,359600.00,333154.63,328200.00,289327.42,0.00,29063.25,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501181,FSA Pre-Tax Savings,300.00,385.37,300.00,353.19,300.00,226.92,0.00,25.39,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,501182,Cafe Plan Pre-Tax Savings,11600.00,12261.68,12600.00,12614.02,13300.00,11845.91,0.00,1233.24,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502101,Electric,9000.00,60424.89,54100.00,51302.92,54100.00,53157.82,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502105,Cable Television,0.00,7783.57,6300.00,7526.02,6300.00,7375.67,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502201,Facilities Management,501300.00,331871.79,379200.00,282203.82,379200.00,242208.88,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502303,Refuse Disposal,26200.00,19456.24,23600.00,0.00,23600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502334,Pest Control Srvc,1300.00,496.80,500.00,496.80,500.00,496.80,0.00,41.40,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502345,Lock & Key Service,0.00,88.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502451,Employee Out-of-town Travel,0.00,2697.25,1600.00,1557.16,1600.00,1420.89,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502452,Employee Air Travel,0.00,1149.00,600.00,394.70,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502502,Allowance-Cell/Mobile Devices,800.00,2016.00,2000.00,1256.00,2000.00,1334.00,0.00,322.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502882,Tuition,0.00,1335.00,1200.00,2000.00,1200.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502883,Registration,0.00,1160.00,600.00,315.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502884,Membership Dues,0.00,0.00,0.00,0.00,0.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502910,Building Maintenance Srvc,2500.00,139.44,500.00,5892.29,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502911,Plumbing/HVAC Maintain Srvc,0.00,5698.93,2800.00,1926.64,2800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502920,Other Rpr & Maint Srvc,1100.00,1275.60,5600.00,953.55,5600.00,0.00,0.00,2325.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502957,Telecmmnct'n Charge,0.00,0.00,0.00,366.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10101,GSD General,30,Sheriff,30123610,SHE CDC-F Offender Mgmt Key,502988,OFM Direct Billed Charges,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
