School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Activity Type,Fiscal Year,Mapped Location
East End Prep,MNPS,1460 McGavock Pike,Nashville,TN,37216,202,Basic Operating,Nashville Children's Theatre,,FY16,"1460 McGavock Pike
Nashville, TN 37216
(36.207179, -86.718799)"
Glenn Enhanced Option Elementary School,MNPS,322 Cleveland Street,Nashville,TN,37207,3,Arts Access,East Nashville Hope Exchange,Out of School,FY17,"322 Cleveland Street
Nashville, TN 37207
(36.186975, -86.766561)"
F.H. Jenkins Preparatory School,Private,814 Youngs Lane,Nashville,TN,37207,30,Basic Operating,Nashville Children's Theatre,,FY16,"814 Youngs Lane
Nashville, TN 37207
(36.204759, -86.799082)"
Schrader Lane Child Care Center,Pre-K/ELC,603 Benton Avenue,Nashville,TN,37204,152,Basic Operating,Nashville Children's Theatre,In-School,FY17,"603 Benton Avenue
Nashville, TN 37204
(36.131728, -86.768762)"
Casa Dei Montessori School,Private,7646 Hwy 70 S,Nashville,TN,37221,26,Basic Operating,Nashville Children's Theatre,In-School,FY17,"7646 Hwy 70 S
Nashville, TN 37221
(36.07898, -86.95197)"
Episcopal School of Nashville,Private,413 Woodland Street,Nashville,TN,37204,17,Arts Access,Nashville Ballet,In-School,FY17,"413 Woodland Street
Nashville, TN 37204
(36.17149, -86.765657)"
Neely's Bend Elementary School,MNPS,1300 Neelys Bend Road,Madison,TN,37115,392,Basic Operating,Nashville Children's Theatre,In-School,FY17,"1300 Neelys Bend Road
Madison, TN 37115
(36.239893, -86.672446)"
A.Z. Kelley Elementary School,MNPS,5843 Pettus Road,Antioch,TN,37013,4,Arts Access,Global Education Center,Out of School,FY17,"5843 Pettus Road
Antioch, TN 37013
(36.022787, -86.66468)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,90,Basic Operating,Nashville Children's Theatre,In-School,FY17,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
Jones Paideia Elementary Magnet School,MNPS,1800 9th Avenue North,Nashville,TN,37208,3,Basic Operating,W.O. Smith Music School,Out of School,FY16,"1800 9th Avenue North
Nashville, TN 37208
(36.181246, -86.801903)"
Hattie Cotton Elementary School,MNPS,1033 West Greenwood Avenue,Nashville,TN,37206,1,Basic Operating,W.O. Smith Music School,Out of School,FY16,"1033 West Greenwood Avenue
Nashville, TN 37206
(36.190618, -86.747804)"
Lakeview Elementary Design Center,MNPS,455 Rural Hill Road,Nashville,TN,37217,2,Arts Access,Global Education Center,Out of School,FY17,"455 Rural Hill Road
Nashville, TN 37217
(36.078477, -86.629671)"
Smithson Craighead Academy,MNPS,730 Neelys Bend Road,Madison,TN,37115,20,Arts Access,Music City Youth Orchestra,Out of School,FY16,"730 Neelys Bend Road
Madison, TN 37115
(36.252838, -86.695972)"
Middle College High School,MNPS,120 White Bridge Road,Nashville,TN,37209,35,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"120 White Bridge Road
Nashville, TN 37209
(36.134879, -86.858326)"
Casa Azafran Early Learning Center,Pre-K/ELC,2195 Nolensville Pike,Nashville,TN,37211,28,Basic Operating,Global Education Center,,FY16,"2195 Nolensville Pike
Nashville, TN 37211
(36.126647, -86.753004)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,30,Basic Operating,Nashville Symphony,,FY16,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
St. Bernard Academy,Private,2304 Bernard Avenue,Nashville,TN,37212,1,Basic Operating,Music City Youth Orchestra,Out of School,FY17,"2304 Bernard Avenue
Nashville, TN 37212
(36.13163, -86.805055)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37203,200,Basic Operating,Global Education Center,In-School,FY17,"2000 Edgehill Avenue
Nashville, TN 37203
(36.143997, -86.798995)"
Christ Presbyterian Academy,Private,2323 Old Hickory Boulevard,Nashville,TN,37215,452,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"2323 Old Hickory Boulevard
Nashville, TN 37215
(36.050647, -86.878085)"
Norman Binkley Elementary School,MNPS,4700 West Longdale Drive,Nashville,TN,37211,41,After-School Arts,Tennessee Performing Arts Center,Out of School,FY17,"4700 West Longdale Drive
Nashville, TN 37211
(36.076896, -86.747892)"
Nashville Big Picture High School,MNPS,160 Rural Avenue,Nashville,TN,37209,1,Basic Operating,Choral Arts Link,,FY16,"160 Rural Avenue
Nashville, TN 37209
(36.142515, -86.855997)"
Whites Creek High School,MNPS,7277 Old Hickory Blvd,Whites Creek,TN,37189,4,Basic Operating,W.O. Smith Music School,Out of School,FY17,"7277 Old Hickory Blvd
Whites Creek, TN 37189
(36.273182, -86.818339)"
Lipscomb Academy,Private,3901 Granny White Pike,Nashville,TN,37204,22,Basic Operating,Cheekwood,In-School,FY17,"3901 Granny White Pike
Nashville, TN 37204
(36.104122, -86.796661)"
Hume-Fogg Magnet High School,MNPS,700 Broadway,Nashville,TN,37203,13,Basic Operating,Cheekwood Botanical Garden and Museum of Art,,FY16,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
Buena Vista Enhanced Option Elementary School,MNPS,1531 9th Avenue North,Nashville,TN,37208,44,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"1531 9th Avenue North
Nashville, TN 37208
(36.177928, -86.797921)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,2,Basic Operating,W.O. Smith Music School,Out of School,FY16,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Tulip Grove Elementary School,MNPS,441 Tyler Drive,Nashville,TN,37076,220,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"441 Tyler Drive
Nashville, TN 37076
(36.198176, -86.611442)"
Two Rivers Middle Prep,MNPS,2991 McGavock Pike,Nashville,TN,37214,2,Basic Operating,W.O. Smith Music School,Out of School,FY17,"2991 McGavock Pike
Nashville, TN 37214
(36.195903, -86.673373)"
Meigs Magnet Middle Prep,MNPS,713 Ramsey Street,Nashville,TN,37206,3,Basic Operating,Choral Arts Link,,FY16,"713 Ramsey Street
Nashville, TN 37206
(36.17603, -86.760346)"
Robert E. Lillard Elementary School,MNPS,3200 Kings Lane,Nashville,TN,37218,450,Basic Operating,Nashville Ballet,,FY16,"3200 Kings Lane
Nashville, TN 37218
(36.219935, -86.826648)"
Maxwell Elementary,MNPS,5535 Blue Hole Road,Antioch,TN,37013,5,Arts Access,Global Education Center,Out of School,FY17,"5535 Blue Hole Road
Antioch, TN 37013
(36.031702, -86.673544)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,1,Basic Operating,"Actors Bridge Ensemble Theatre of Nashville, Inc.",Out of School,FY16,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Belle Meade Children's Center,Pre-K/ELC,121 Davidson Road,Nashville,TN,37205,15,Basic Operating,Cheekwood,In-School,FY17,"121 Davidson Road
Nashville, TN 37205
(36.115212, -86.862587)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,700,Basic Operating,Global Education Center,In-School,FY17,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
McMurray Middle Prep,MNPS,520 McMurray Drive,Nashville,TN,37211,72,After-School Arts,Center for Refugees and Immigrants of Tennessee,Out of School,FY16,"520 McMurray Drive
Nashville, TN 37211
(36.05738, -86.722669)"
Goodlettsville Elementary School,MNPS,514 Donald Avenue,Goodlettsville,TN,37072,82,Basic Operating,Country Music Foundation,In-School,FY17,
Apollo Middle Prep,MNPS,631 Richards Road,Antioch,TN,37013,18,After-School Arts,PENCIL Foundation,Out of School,FY16,"631 Richards Road
Antioch, TN 37013
(36.067445, -86.664309)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,350,Basic Operating,Chinese Arts Alliance of Nashville,,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,25,Basic Operating,Choral Arts Link,,FY16,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Paragon Mills Elementary School,MNPS,260 Paragon Mills Road,Nashville,TN,37211,4,Arts Access,Global Education Center,Out of School,FY17,"260 Paragon Mills Road
Nashville, TN 37211
(36.087048, -86.707014)"
Davidson Academy,Private,1414 Old Hickory Blvd,Nashville,TN,37207,1,Basic Operating,Choral Arts Link,Out of School,FY17,"1414 Old Hickory Blvd
Nashville, TN 37207
(36.279632, -86.779502)"
Lipscomb Academy,Private,3901 Granny White Pike,Nashville,TN,37204,357,Basic Operating,Nashville Children's Theatre,In-School,FY17,"3901 Granny White Pike
Nashville, TN 37204
(36.104122, -86.796661)"
Westmeade Elementary School,MNPS,6641 Clearbrook Drive,Nashville,TN,37205,2,Arts Access,GLOBAL EDUCATION CENTER,Out of School,FY16,"6641 Clearbrook Drive
Nashville, TN 37205
(36.091787, -86.894436)"
Episcopal School of Nashville,Private,413 Woodland Street,Nashville,TN,37206,16,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"413 Woodland Street
Nashville, TN 37206
(36.17149, -86.765657)"
Robert Churchwell Museum Magnet Elementary School,MNPS,1625 Dr D.B. Todd Jr Blvd,Nashville,TN,37208,16,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"1625 Dr D.B. Todd Jr Blvd
Nashville, TN 37208
(36.175783, -86.809257)"
Harris-Hillman School,MNPS,1706 26th Avenue South,Nashville,TN,37212,80,After-School Arts,Tennessee Performing Arts Center,Out of School,FY16,"1706 26th Avenue South
Nashville, TN 37212
(36.137515, -86.808046)"
Hume-Fogg Magnet High School,MNPS,700 Broadway,Nashville,TN,37203,14,Basic Operating,Nashville Symphony,In-School,FY17,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
Whites Creek High School,MNPS,7277 Old Hickory Blvd,Whites Creek,TN,37189,10,Basic Operating,Cheekwood,In-School,FY17,"7277 Old Hickory Blvd
Whites Creek, TN 37189
(36.273182, -86.818339)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,1,Basic Operating,Music City Youth Orchestra,Out of School,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Community Based Transition Program,MNPS,2601 Bransford Ave,Nashville,TN,37204,8,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"2601 Bransford Ave
Nashville, TN 37204
(36.121796, -86.7655)"
Stratford STEM Magnet School Lower Campus,MNPS,1800 Stratford Avenue,Nashville,TN,37216,30,After-School Arts,Nashville Children's Theatre,Out of School,FY16,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
Hillwood High School,MNPS,400 Davidson Road,Nashville,TN,37205,48,Basic Operating,Country Music Foundation,In-School,FY17,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Charlotte Mason Elementary Tutorial,Home Schooled,,,TN,,17,Basic Operating,Frist Center for the Visual Arts,,FY16,"TN
(35.842998, -86.343226)"
Shwab Elementary School,MNPS,1500 Dickerson Pike,Nashville,TN,37207,4,Arts Access,East Nashville Hope Exchange,Out of School,FY17,"1500 Dickerson Pike
Nashville, TN 37207
(36.199361, -86.770285)"
The Academy at Hickory Hollow,MNPS,5248 Hickory Hollow Pkwy,Antioch,TN,37013,31,Basic Operating,Southern Word,,FY16,"5248 Hickory Hollow Pkwy
Antioch, TN 37013
(36.048481, -86.657333)"
J.E. Moss Elementary School,MNPS,4701 Bowfield Drive,Antioch,TN,37013,146,Arts Access,Nashville Children's Theatre,,FY16,"4701 Bowfield Drive
Antioch, TN 37013
(36.066996, -86.668993)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,49,Basic Operating,Humanities Tennessee,,FY16,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Haynes Middle School,MNPS,510 West Trinity Lane,Nashville,TN,37207,1,Basic Operating,W.O. Smith Music School,Out of School,FY17,"510 West Trinity Lane
Nashville, TN 37207
(36.207377, -86.790851)"
J.T. Moore Middle Prep,MNPS,4425 Granny White Pike,Nashville,TN,37204,5,Basic Operating,Nashville Ballet,Out of School,FY16,"4425 Granny White Pike
Nashville, TN 37204
(36.09542, -86.801241)"
LEAD Prep Southeast,Private,531 Metroplex Drive,Nashville,TN,37211,84,Basic Operating,Frist Center for the Visual Arts,,FY16,"531 Metroplex Drive
Nashville, TN 37211
(36.092934, -86.703002)"
Hillsboro High School,MNPS,400 Davidson Road,Nashville,TN,37205,1,Basic Operating,Nashville Jazz Workshop,Out of School,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,30,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Donelson Christian Academy,Private,300 Danyacrest Drive,Nashville,TN,37214,33,Basic Operating,The Nashville Shakespeare Festival,,FY16,"300 Danyacrest Drive
Nashville, TN 37214
(36.183834, -86.650836)"
Rose Park Magnet Math & Science Middle School,MNPS,1025 9th Ave South,Nashville,TN,37203,29,Basic Operating,Tennessee Performing Arts Center,Out of School,FY17,"1025 9th Ave South
Nashville, TN 37203
(36.142539, -86.780874)"
Stanford Montessori Elementary School,MNPS,2417 Maplecrest Drive,Nashville,TN,37214,62,Basic Operating,Nashville Children's Theatre,,FY16,"2417 Maplecrest Drive
Nashville, TN 37214
(36.177508, -86.682922)"
Cameron College Prep,MNPS,1034 1st Avenue South,Nashville,TN,37210,10,Basic Operating,Southern Word,,FY16,"1034 1st Avenue South
Nashville, TN 37210
(36.148899, -86.765038)"
Nashville Classical Charter School,MNPS,1310 Ordway Place,Nashville,TN,37206,170,Basic Operating,Country Music Foundation,In-School,FY17,"1310 Ordway Place
Nashville, TN 37206
(36.18026, -86.746013)"
Cane Ridge Elementary,MNPS,3884 Asheford Trace,Antioch,TN,37013,6,Basic Operating,W.O. Smith Music School,Out of School,FY17,"3884 Asheford Trace
Antioch, TN 37013
(36.04045, -86.619964)"
Martin Luther King Jr. Magnet School,MNPS,613 17th Avenue North,Nashville,TN,37203,1100,Basic Operating,Southern Word,,FY16,"613 17th Avenue North
Nashville, TN 37203
(36.162085, -86.800393)"
Eakin Elementary School,MNPS,2500 Fairfax Avenue,Nashville,TN,37212,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,"2500 Fairfax Avenue
Nashville, TN 37212
(36.13475, -86.807413)"
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,61,Basic Operating,Country Music Foundation,,FY16,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
Homeschool,Home Schooled,,,TN,,30,Basic Operating,Cheekwood,In-School,FY17,"TN
(35.842998, -86.343226)"
May Werthan Shayne Elementary School,MNPS,6217 Nolensville Pike,Nashville,TN,37211,140,Basic Operating,Nashville Children's Theatre,In-School,FY17,"6217 Nolensville Pike
Nashville, TN 37211
(36.020211, -86.710266)"
Homeschool,Home Schooled,,,TN,,35,Basic Operating,"Youth Empowerment through Arts and Humanities, Inc.",Out of School,FY16,"TN
(35.842998, -86.343226)"
Andrew Jackson Elementary School,MNPS,110 Shute Lane,Old Hickory,TN,37138,233,Basic Operating,Nashville Children's Theatre,In-School,FY17,"110 Shute Lane
Old Hickory, TN 37138
(36.232084, -86.622589)"
Park Avenue Enhanced Option Elementary School,MNPS,3703 Park Avenue,Nashville,TN,37209,50,Basic Operating,Nashville Children's Theatre,In-School,FY17,"3703 Park Avenue
Nashville, TN 37209
(36.151584, -86.829723)"
Bellevue Middle School,MNPS,655 Colice Jeanne Road,Nashville,TN,37221,1,Basic Operating,"Watkins College of Art, Design, and Film",Out of School,FY17,"655 Colice Jeanne Road
Nashville, TN 37221
(36.071058, -86.934079)"
Neely's Bend Elementary School,MNPS,1300 Neelys Bend Road,Madison,TN,37115,326,Basic Operating,Nashville Children's Theatre,,FY16,"1300 Neelys Bend Road
Madison, TN 37115
(36.239893, -86.672446)"
Glencliff High School,MNPS,160 Antioch Pike,Nashville,TN,37211,280,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"160 Antioch Pike
Nashville, TN 37211
(36.100889, -86.726609)"
Franklin Road Academy,Private,4700 Franklin Pike,Nashville,TN,37220,79,Basic Operating,Nashville Children's Theatre,In-School,FY17,"4700 Franklin Pike
Nashville, TN 37220
(36.083081, -86.772376)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,104,Basic Operating,Country Music Foundation,In-School,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Valor Collegiate Academy,MNPS,4527 Nolensville Pike,Nashville,TN,37211,12,After-School Arts,Southern Word,Out of School,FY17,"4527 Nolensville Pike
Nashville, TN 37211
(36.071565, -86.723703)"
Hickman Elementary School,MNPS,112 Stewarts Ferry Pike,Nashville,TN,37214,214,Basic Operating,Nashville Children's Theatre,In-School,FY17,"112 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Whitsitt Elementary School,MNPS,110 Whitsett Road,Nashville,TN,37210,6,Arts Access,Global Education Center,Out of School,FY17,"110 Whitsett Road
Nashville, TN 37210
(36.114573, -86.736807)"
Smith Springs Elementary School,MNPS,3132 Smith Springs Road,Antioch,TN,37013,20,Basic Operating,Nashville Symphony,,FY16,"3132 Smith Springs Road
Antioch, TN 37013
(36.082957, -86.596744)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,80,Creation,OZ Arts,In-School,FY17,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,33,Basic Operating,Tennessee Performing Arts Center,,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Harpeth Hall School,Private,3801 Hobbs Road,Nashville,TN,37215,53,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"3801 Hobbs Road
Nashville, TN 37215
(36.103441, -86.840497)"
Chadwell Elementary School,MNPS,321 Port Drive,Nashville,TN,37115,2,Arts Access,East Nashville Hope Exchange,Out of School,FY17,"321 Port Drive
Nashville, TN 37115
(36.256975, -86.741981)"
Napier Enhanced Option Elementary School,MNPS,60 Fairfield Avenue,Nashville,TN,37210,383,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"60 Fairfield Avenue
Nashville, TN 37210
(36.15001, -86.757067)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,20,Arts Access,Nashville Children's Theatre,,FY16,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
Cumberland Elementary School,MNPS,4247 Cato Road,Nashville,TN,37218,2,Basic Operating,W.O. Smith Music School,Out of School,FY16,"4247 Cato Road
Nashville, TN 37218
(36.212186, -86.866175)"
LEAD Academy High School,MNPS,1034 1st Avenue South,Nashville,TN,37210,1,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1034 1st Avenue South
Nashville, TN 37210
(36.148899, -86.765038)"
Holly Street Daycare,Pre-K/ELC,1401 Holly Street,Nashville,TN,37206,20,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"1401 Holly Street
Nashville, TN 37206
(36.175814, -86.745787)"
Robert E. Lillard Elementary School,MNPS,3200 Kings Lane,Nashville,TN,37218,37,After-School Arts,Tennessee Performing Arts Center,Out of School,FY16,"3200 Kings Lane
Nashville, TN 37218
(36.219935, -86.826648)"
Dudley Head Start,Pre-K/ELC,1203 3rd Avenue South,Nashville,TN,37210,135,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"1203 3rd Avenue South
Nashville, TN 37210
(36.145101, -86.765525)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,6,Basic Operating,W.O. Smith Music School,Out of School,FY17,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Jones Paideia Elementary Magnet School,MNPS,1800 9th Avenue North,Nashville,TN,37208,245,Basic Operating,Nashville Children's Theatre,In-School,FY17,"1800 9th Avenue North
Nashville, TN 37208
(36.181246, -86.801903)"
F.H. Jenkins Preparatory School,Private,814 Youngs Lane,Nashville,TN,37207,44,Basic Operating,Nashville Symphony,In-School,FY17,"814 Youngs Lane
Nashville, TN 37207
(36.204759, -86.799082)"
Norman Binkley Elementary School,MNPS,4700 West Longdale Drive,Nashville,TN,37211,24,Arts Access,Nashville Ballet,In-School,FY17,"4700 West Longdale Drive
Nashville, TN 37211
(36.076896, -86.747892)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,36,Arts Access,"Southern Word, Inc.",Out of School,FY16,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,18,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Ross Early Learning Center,Pre-K/ELC,601 McFerrin Avenue,Nashville,TN,37206,9,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"601 McFerrin Avenue
Nashville, TN 37206
(36.180252, -86.755042)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,38,Basic Operating,Nashville Children's Theatre,,FY16,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Tennessee School for the Blind,Other,115 Stewarts Ferry Pike,Nashville,TN,37214,20,Basic Operating,Nashville Repertory Theatre,In-School,FY17,"115 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Holy Trinity Montessori,Private,8131 Old Harding Pike,Nashville,TN,37221,21,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"8131 Old Harding Pike
Nashville, TN 37221
(36.033066, -86.987938)"
St. Ann's Catholic School,Private,5105 Charlotte Avenue,Nashville,TN,37209,53,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"5105 Charlotte Avenue
Nashville, TN 37209
(36.151941, -86.849314)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37208,414,Basic Operating,Nashville Children's Theatre,,FY16,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
Neely's Bend College Prep,MNPS,1251 Neelys Bend Road,Madison,TN,37115,103,Basic Operating,Nashville Children's Theatre,,FY16,"1251 Neelys Bend Road
Madison, TN 37115
(36.240212, -86.672786)"
McGavock High School,MNPS,3150 McGavock Pike,Nashville,TN,37214,148,Basic Operating,Southern Word,In-School,FY17,"3150 McGavock Pike
Nashville, TN 37214
(36.185147, -86.67648)"
Maplewood High School,MNPS,401 Walton Lane,Nashville,TN,37216,246,Basic Operating,Southern Word,,FY16,"401 Walton Lane
Nashville, TN 37216
(36.232997, -86.750784)"
Stanford Montessori Elementary School,MNPS,2417 Maplecrest Drive,Nashville,TN,37214,60,Basic Operating,Nashville Symphony,In-School,FY17,"2417 Maplecrest Drive
Nashville, TN 37214
(36.177508, -86.682922)"
Warner Enhanced Option Elementary School,MNPS,626 Russell Street,Nashville,TN,37206,120,Basic Operating,Nashville Symphony,In-School,FY17,"626 Russell Street
Nashville, TN 37206
(36.172254, -86.760445)"
Head Magnet Middle Prep,MNPS,1830 Jo Johnson Avenue,Nashville,TN,37203,76,Basic Operating,Nashville Children's Theatre,,FY16,"1830 Jo Johnson Avenue
Nashville, TN 37203
(36.159251, -86.803381)"
J.E. Moss Elementary School,MNPS,4701 Bowfield Drive,Antioch,TN,37013,397,Basic Operating,Nashville Children's Theatre,In-School,FY17,"4701 Bowfield Drive
Antioch, TN 37013
(36.066996, -86.668993)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,298,Arts Access,Nashville Children's Theatre,,FY16,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Donelson Middle Prep,MNPS,110 Stewarts Ferry Pike,Nashville,TN,37214,135,Basic Operating,Nashville Children's Theatre,,FY16,"110 Stewarts Ferry Pike
Nashville, TN 37214
(36.167, -86.655671)"
J.T. Moore Middle Prep,MNPS,4425 Granny White Pike,Nashville,TN,37204,7,Basic Operating,Southern Word,Out of School,FY16,"4425 Granny White Pike
Nashville, TN 37204
(36.09542, -86.801241)"
Wright Middle Prep,MNPS,180 McCall Street,Nashville,TN,37211,16,After-School Arts,PENCIL Foundation,Out of School,FY16,"180 McCall Street
Nashville, TN 37211
(36.099132, -86.734386)"
A.Z. Kelley Elementary School,MNPS,5834 Pettus Road,Antioch,TN,37013,780,Basic Operating,Cheekwood,In-School,FY17,"5834 Pettus Road
Antioch, TN 37013
(36.022988, -86.664651)"
Davidson Academy,Private,1414 Old Hickory Blvd,Nashville,TN,37207,14,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"1414 Old Hickory Blvd
Nashville, TN 37207
(36.279632, -86.779502)"
St. Edward School,Private,190 Thompson Lane,Nashville,TN,37211,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,"190 Thompson Lane
Nashville, TN 37211
(36.11056, -86.740249)"
A.Z. Kelley Elementary School,MNPS,5834 Pettus Road,Antioch,TN,37013,42,Basic Operating,Moves and Grooves Inc.,Out of School,FY16,"5834 Pettus Road
Antioch, TN 37013
(36.022988, -86.664651)"
J.T. Moore Middle Prep,MNPS,4425 Granny White Pike,Nashville,TN,37204,400,Creation,OZ Arts,In-School,FY17,"4425 Granny White Pike
Nashville, TN 37204
(36.09542, -86.801241)"
Cane Ridge High School,MNPS,12848 Old Hickory Boulevard,Antioch,TN,37013,26,Basic Operating,Nashville Ballet,,FY16,"12848 Old Hickory Boulevard
Antioch, TN 37013
(36.026553, -86.615508)"
Tennessee School for the Blind,Other,115 Stewarts Ferry Pike,Nashville,TN,37214,15,Basic Operating,Southern Word,,FY16,"115 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Smithson Craighead Academy,MNPS,730 Neelys Bend Road,Madison,TN,37115,78,Basic Operating,Nashville Children's Theatre,In-School,FY17,"730 Neelys Bend Road
Madison, TN 37115
(36.252838, -86.695972)"
John F. Kennedy Middle Prep,MNPS,2087 Hobson Pike,Antioch,TN,37013,421,Basic Operating,Nashville Children's Theatre,In-School,FY17,"2087 Hobson Pike
Antioch, TN 37013
(36.054839, -86.598929)"
F.H. Jenkins Preparatory School,Private,814 Youngs Lane,Nashville,TN,37207,26,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"814 Youngs Lane
Nashville, TN 37207
(36.204759, -86.799082)"
Dodson Elementary School,MNPS,4401 Chandler Road,Hermitage,TN,37076,86,Basic Operating,Tennessee Performing Arts Center,,FY16,"4401 Chandler Road
Hermitage, TN 37076
(36.191257, -86.603868)"
Thurgood Marshall Middle Prep,MNPS,5832 Pettus Road,Antioch,TN,37013,668,Basic Operating,Nashville Children's Theatre,In-School,FY17,"5832 Pettus Road
Antioch, TN 37013
(36.022414, -86.664733)"
East Nashville Magnet Middle School,MNPS,2000 Greenwood Avenue,Nashville,TN,37206,88,Basic Operating,Southern Word,,FY16,"2000 Greenwood Avenue
Nashville, TN 37206
(36.189048, -86.732515)"
Cambridge Early Learning Center,Pre-K/ELC,2325 Hickory Highlands Drive,Nashville,TN,37013,2,Arts Access,Global Education Center,Out of School,FY17,"2325 Hickory Highlands Drive
Nashville, TN 37013
(36.060835, -86.641835)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,10,Basic Operating,Tennessee Womens Theater Project,,FY16,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
